#Sp1	#Sp2	#Cor	#type
ESV_2	ESV_1381	-0.6321	2
ESV_2	ESV_1398	-0.5221	2
ESV_2	ESV_1399	-0.5463	2
ESV_2	ESV_1400	0.4271	1
ESV_2	ESV_1406	-0.4761	2
ESV_2	ESV_1408	0.4445	1
ESV_2	ESV_1417	-0.4758	2
ESV_2	ESV_1418	-0.5197	2
ESV_2	ESV_1431	-0.5695	2
ESV_2	ESV_1434	-0.5617	2
ESV_2	ESV_1437	-0.4908	2
ESV_2	ESV_1444	0.59	1
ESV_2	ESV_1468	0.5268	1
ESV_2	ESV_1487	-0.6674	2
ESV_2	ESV_1501	0.4862	1
ESV_2	ESV_1505	-0.5977	2
ESV_2	ESV_1530	-0.542	2
ESV_2	ESV_1533	0.5339	1
ESV_2	ESV_1534	0.6586	1
ESV_2	ESV_1538	0.4571	1
ESV_2	ESV_1541	-0.5891	2
ESV_2	ESV_1556	-0.5275	2
ESV_2	ESV_1576	0.4615	1
ESV_2	ESV_1577	-0.4396	2
ESV_2	ESV_1587	-0.6221	2
ESV_2	ESV_1615	0.4547	1
ESV_2	ESV_1628	0.4413	1
ESV_2	ESV_1631	-0.4599	2
ESV_2	ESV_1639	0.4928	1
ESV_2	ESV_1641	-0.4546	2
ESV_2	ESV_1642	-0.4644	2
ESV_2	ESV_1651	-0.6031	2
ESV_2	ESV_1684	0.4979	1
ESV_2	ESV_1690	-0.5707	2
ESV_2	ESV_1721	0.4185	1
ESV_2	ESV_1730	0.4875	1
ESV_2	ESV_1733	-0.5409	2
ESV_2	ESV_1751	-0.767	2
ESV_2	ESV_1770	-0.5318	2
ESV_2	ESV_1772	0.5882	1
ESV_2	ESV_1773	-0.4758	2
ESV_2	ESV_1783	0.5269	1
ESV_2	ESV_1789	-0.4722	2
ESV_2	ESV_1806	-0.6473	2
ESV_2	ESV_1820	-0.5665	2
ESV_2	ESV_1830	-0.5649	2
ESV_2	ESV_1870	0.5684	1
ESV_2	ESV_1899	0.5024	1
ESV_2	ESV_1906	-0.649	2
ESV_2	ESV_1913	0.5412	1
ESV_2	ESV_1914	0.5209	1
ESV_2	ESV_1939	-0.6208	2
ESV_2	ESV_1944	-0.6745	2
ESV_2	ESV_1946	-0.7428	2
ESV_2	ESV_1958	0.5188	1
ESV_2	ESV_1961	0.5282	1
ESV_2	ESV_1993	0.4967	1
ESV_2	ESV_1995	0.5102	1
ESV_2	ESV_1996	-0.4337	2
ESV_2	ESV_2004	-0.537	2
ESV_2	ESV_2006	0.6275	1
ESV_2	ESV_2019	-0.4842	2
ESV_2	ESV_2028	0.6855	1
ESV_2	ESV_2048	0.5989	1
ESV_2	ESV_2049	-0.5518	2
ESV_2	ESV_2060	-0.615	2
ESV_2	ESV_2085	-0.4231	2
ESV_2	ESV_2113	0.4641	1
ESV_2	ESV_2125	-0.6426	2
ESV_2	ESV_2144	-0.7821	2
ESV_2	ESV_2145	-0.452	2
ESV_2	ESV_2154	-0.4157	2
ESV_2	ESV_2166	0.4472	1
ESV_2	ESV_2203	0.5384	1
ESV_2	ESV_2251	-0.479	2
ESV_2	ESV_2289	-0.5301	2
ESV_2	ESV_2293	-0.4771	2
ESV_2	ESV_2296	-0.5473	2
ESV_2	ESV_2323	-0.706	2
ESV_2	ESV_2344	0.4202	1
ESV_2	ESV_2369	0.4782	1
ESV_2	ESV_2408	-0.4692	2
ESV_2	ESV_2415	-0.4452	2
ESV_2	ESV_2422	0.588	1
ESV_2	ESV_2464	0.4331	1
ESV_2	ESV_2472	-0.5225	2
ESV_2	ESV_2490	-0.465	2
ESV_2	ESV_2539	-0.5702	2
ESV_2	ESV_2587	-0.4137	2
ESV_2	ESV_2614	0.6044	1
ESV_2	ESV_2621	0.4868	1
ESV_2	ESV_2649	0.4846	1
ESV_2	ESV_2674	-0.4331	2
ESV_2	ESV_2682	0.4789	1
ESV_2	ESV_2702	-0.5487	2
ESV_2	ESV_2717	-0.6378	2
